"id";"poste";"localisation";"domaine";"contrat";"entreprise";"salaire";"niveau_etude";"competences"
"39";"Développeur java j2EE /JSF";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"soft & soft";"A discuter";"Pas important";"java,jquery,react,html,css,j2ee"
"40";"TECHNICIEN DÉVELOPPEUR INFORMATIQUE";"Casablanca";"Automobile";"CDI";"CONFIDENTIEL";"A discuter";"Bac plus 2";"java,javascript,jquery,html,css,php,ajax"
"41";"Chef de projet erp interne / bac+5";"Casablanca";"Industrie / Ingénierie / Energie";"CDI";"Industrielle, leader dans son domaine";"Plus de 10 000 DH";"Bac plus 5";"c++,c#"
"42";"Développeur Full Stack";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"ENGAGIA";"A discuter";"Bac plus 2";"java,javascript,jquery,php,ajax,bootstrap,wordpress"
"43";"Intégrateur Web  Angular (Figma/AdobeXD)";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"1 Minute Script";"A discuter";"Bac plus 2";"java,angular"
"44";"DEVELOPPEUR FULL STACK";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"valority";"A discuter";"Bac plus 3";"java,c#,javascript,html,css,oracle"
"45";"Développeuer front-end confirmé";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"APTUS Consulting";"A discuter";"Bac plus 2";"java,javascript,react,python,vue"
"46";"Développeur Full Stack";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"DIGENCY";"A discuter";"Bac plus 2";"java,javascript,react,angular,j2ee"
"47";"Developpeur Windev";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"INFORMANCE SARL";"8 000 - 10 000 DH";"Bac plus 3";"java,javascript,jquery,html,php,ajax"
"48";"TECHNICIEN DÉVELOPPEUR INFORMATIQUE";"Casablanca";"Automobile";"CDI";"CONFIDENTIEL";"A discuter";"Bac plus 2";"java,javascript,jquery,html,css,php,ajax"
"49";"Ingénieur Dev JAVA EE";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Confidentielle";"A discuter";"Bac plus 5";"java"
"50";"Développeur react senior";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"ALTERIPSO";"Plus de 10 000 DH";"Bac plus 5";"java,javascript,react"
"51";"Responsable technique en développement";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Filiale d'un groupe français";"A discuter";"Bac plus 4";"c++,python"
"52";"Développeur Python";"Rabat";"Informatique / Multimédia / Internet";"CDI";"SUCCESS";"Plus de 10 000 DH";"Bac plus 5";"python"
"53";"Développeur Front-end /Back-end";"Tanger";"Informatique / Multimédia / Internet";"CDI";"Telematic";"A discuter";"Bac plus 5";"laravel,vue,angular"
"54";"Developpeur web /bac +5";"Kénitra";"Informatique / Multimédia / Internet";"A discuter";"ASATECHNO CONSULTING";"A discuter";"Bac plus 5";"java,react,html,css,scala"
"55";"DEVELOPPEUR WEB & E-LEARNING";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"FIANCITE INSTITUTE";"A discuter";"Bac plus 5";"html"
"56";"DEVELOPPEUR ERP";"Autre ville";"Informatique / Multimédia / Internet";"A discuter";"SOCIETE SARL";"A discuter";"Bac plus 2";"java,javascript,jquery,angular"
"57";"Consultant PLSQL";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"Roadmap consulting";"A discuter";"Bac plus 5";"oracle"
"58";"Informaticien Technique H/F";"Casablanca";"Informatique / Multimédia / Internet";"Interim";"chrono interim";"A discuter";"Niveau Bac";"vue"
"59";"Développeur Informatique CASABLANCA";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"STE";"A discuter";"Bac plus 2";"php,node"
"60";"Developer Full Stack (Back-end et Front-end)";"Marrakech";"Informatique / Multimédia / Internet";"A discuter";"M Media";"4 000 - 6 000 DH";"Pas important";"java,javascript,react,html,php,laravel,swift,kotlin,flutter,react native,vue,bootstrap"
"61";"Senior en informatique (H/F)";"Rabat";"Informatique / Multimédia / Internet";"CDI";"Confidentiel";"A discuter";"Bac plus 5";"java,react,php,vue"
"62";"TECHNICIEN EN DEVELLOPEMENT INFORMATIQUE SUR TANGE";"Tanger";"Informatique / Multimédia / Internet";"CDI";"ASSSIG MAROC";"A discuter";"Bac plus 2";"java,c++,jquery,angular"
"63";"Profile développement  Informatique basé à Temara";"Temara";"Informatique / Multimédia / Internet";"A discuter";"DEVOX";"A discuter";"Pas important";"java,javascript,html,css,vue,angular"
"64";"Développeurs C#";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Confidentiel";"A discuter";"Bac plus 2";"c#"
"65";"Développeur JAVA/ ANGULAR";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"multinationale belge";"Plus de 10 000 DH";"Bac plus 5";"java,angular,j2ee"
"66";"Senior/expert en informatique / bac+5";"Rabat";"Informatique / Multimédia / Internet";"CDI";"Confidentiel";"A discuter";"Bac plus 5";"java,jee"
"67";"Développeur Web Angular";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"1 Minute Script";"8 000 - 10 000 DH";"Bac plus 2";"java,angular"
"68";"Développeur Web / Mobile";"Agadir";"Informatique / Multimédia / Internet";"A discuter";"DIGITAL ELITE";"A discuter";"Pas important";"java,javascript,react,php,laravel,react native"
"69";"Ingénieur Développement C# sur Casablanca";"Fès";"Informatique / Multimédia / Internet";"CDI";"IT Conseil";"A discuter";"Bac plus 5";"c#"
"70";"Integrateur configurateur";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Expanded Payment International XPI";"A discuter";"Bac plus 2";"java,oracle"
